Hours Studied,Performance Index,Predicted,Residual
7,91.0,60.79061439533281,30.20938560466719
4,65.0,52.471425921416,12.528574078584
8,45.0,63.56367721997175,-18.56367721997175
5,36.0,55.24448874605494,-19.24448874605494
7,66.0,60.79061439533281,5.20938560466719
3,61.0,49.69836309677706,11.301636903222942
7,63.0,60.79061439533281,2.2093856046671903
8,42.0,63.56367721997175,-21.56367721997175
5,61.0,55.24448874605494,5.755511253945059
4,69.0,52.471425921416,16.528574078584
8,84.0,63.56367721997175,20.43632278002825
8,73.0,63.56367721997175,9.436322780028249
3,27.0,49.69836309677706,-22.698363096777058
6,33.0,58.017551570693875,-25.017551570693875
5,68.0,55.24448874605494,12.755511253945059
2,43.0,46.925300272138124,-3.9253002721381236
8,67.0,63.56367721997175,3.4363227800282488
6,70.0,58.017551570693875,11.982448429306125
2,30.0,46.925300272138124,-16.925300272138124
5,63.0,55.24448874605494,7.755511253945059
1,71.0,44.15223744749919,26.84776255250081
6,85.0,58.017551570693875,26.982448429306125
9,73.0,66.33674004461069,6.663259955389307
1,57.0,44.15223744749919,12.84776255250081
3,35.0,49.69836309677706,-14.698363096777058
7,49.0,60.79061439533281,-11.79061439533281
4,66.0,52.471425921416,13.528574078584
9,83.0,66.33674004461069,16.663259955389307
3,74.0,49.69836309677706,24.301636903222942
5,74.0,55.24448874605494,18.75551125394506
3,39.0,49.69836309677706,-10.698363096777058
7,36.0,60.79061439533281,-24.79061439533281
5,58.0,55.24448874605494,2.755511253945059
9,47.0,66.33674004461069,-19.336740044610693
7,60.0,60.79061439533281,-0.7906143953328097
2,74.0,46.925300272138124,27.074699727861876
4,42.0,52.471425921416,-10.471425921416
9,68.0,66.33674004461069,1.6632599553893073
2,32.0,46.925300272138124,-14.925300272138124
9,64.0,66.33674004461069,-2.3367400446106927
5,45.0,55.24448874605494,-10.244488746054941
2,39.0,46.925300272138124,-7.925300272138124
4,58.0,52.471425921416,5.5285740785840005
7,36.0,60.79061439533281,-24.79061439533281
8,71.0,63.56367721997175,7.436322780028249
3,54.0,49.69836309677706,4.301636903222942
1,17.0,44.15223744749919,-27.15223744749919
4,54.0,52.471425921416,1.5285740785840005
2,58.0,46.925300272138124,11.074699727861876
8,53.0,63.56367721997175,-10.563677219971751
4,27.0,52.471425921416,-25.471425921416
2,65.0,46.925300272138124,18.074699727861876
6,75.0,58.017551570693875,16.982448429306125
6,52.0,58.017551570693875,-6.017551570693875
4,78.0,52.471425921416,25.528574078584
6,91.0,58.017551570693875,32.982448429306125
2,33.0,46.925300272138124,-13.925300272138124
2,47.0,46.925300272138124,0.0746997278618764
4,78.0,52.471425921416,25.528574078584
8,38.0,63.56367721997175,-25.56367721997175
7,70.0,60.79061439533281,9.20938560466719
9,98.0,66.33674004461069,31.663259955389307
8,87.0,63.56367721997175,23.43632278002825
5,49.0,55.24448874605494,-6.244488746054941
2,41.0,46.925300272138124,-5.925300272138124
5,71.0,55.24448874605494,15.755511253945059
8,54.0,63.56367721997175,-9.563677219971751
9,42.0,66.33674004461069,-24.336740044610693
9,91.0,66.33674004461069,24.663259955389307
1,61.0,44.15223744749919,16.84776255250081
9,74.0,66.33674004461069,7.663259955389307
